com_name,N,continent,month
Cardinal Woodpecker,6,Africa,sept23
Small Buttonquail,3,Africa,sept23
Caspian Tern,1,Africa,sept23
Black Cuckoo,1,Africa,sept23
Kurrichane Thrush,1,Africa,sept23
Tawny-flanked Prinia,5,Africa,sept23
Eurasian Hoopoe,61,Africa,sept23
Red-billed Oxpecker,1,Africa,sept23
Barn Owl,8,Africa,sept23
Gray-headed Bushshrike,2,Africa,sept23
Crowned Lapwing,15,Africa,sept23
African Wood-Owl,189,Africa,sept23
Abyssinian Nightjar,36,Africa,sept23
African Palm-Swift,2,Africa,sept23
Common Greenshank,3,Africa,sept23
African Thrush,75,Africa,sept23
White-browed Robin-Chat,296,Africa,sept23
Klaas's Cuckoo,58,Africa,sept23
Striped Kingfisher,22,Africa,sept23
Fan-tailed Raven,317,Africa,sept23
Blue-spotted Wood-Dove,27,Africa,sept23
Squacco Heron,1,Africa,sept23
African Pygmy-Kingfisher,21,Africa,sept23
Yellow-fronted Tinkerbird,24,Africa,sept23
Verreaux's Eagle-Owl,42,Africa,sept23
Karoo Thrush,3,Africa,sept23
White-breasted Sunbird,4,Africa,sept23
Little Bittern,2,Africa,sept23
Cape Sparrow,16,Africa,sept23
African Gray Hornbill,38,Africa,sept23
Southern Boubou,3,Africa,sept23
Freckled Nightjar,11,Africa,sept23
Blacksmith Lapwing,3,Africa,sept23
