station_locs,avg_rad,lat,lon
275,0,55.8985,-4.2355
276,6.03999996185303,52.4729,13.1105
277,0,55.8984,-4.2354
278,0,55.8983,-4.2356
279,0,55.8985,-4.2354
280,0,55.9559,-4.1598
281,1.51999998092651,50.9165,12.7392
282,2.96000003814697,53.2117,8.5092
283,2.19000005722046,52.7153,-8.5811
284,6.03999996185303,52.4729,13.1108
285,0,55.8984,-4.2357
286,0,55.8984,-4.2353
287,12.3100004196167,53.5251,-2.2917
288,3.25999999046326,52.473,13.1106
289,4.21999979019165,50.5572,3.2383
290,3.25999999046326,52.473,13.1108
291,2.96000003814697,52.473,13.1107
292,4.69000005722046,52.4731,13.1103
293,0,55.8983,-4.2354
294,4.05999994277954,52.4729,13.1107
295,40.1500015258789,45.078,7.6327
296,33.4799995422363,38.5648,-0.6349
297,4.03000020980835,41.3182,1.7012
298,0.980000019073486,52.7486,1.1031
299,3.32999992370605,52.3729,6.4802
300,4.6399998664856,50.8712,5.3058
301,1.16999995708466,48.157,-1.7243
302,6.26000022888184,53.1547,8.1706
303,22.7099990844727,51.534,-0.2174
304,2,52.0942,6.4501
305,1.05999994277954,53.1783,13.2273
306,0,59.3591,17.9948
307,2.57999992370605,51.2044,-2.2084
308,17.1700000762939,52.269,10.538
309,5.30999994277954,51.896,-2.0546
310,15.0600004196167,53.2929,-6.1858
311,0,55.8982,-4.2354
312,0,55.8982,-4.2353
313,11.460000038147,51.284,12.396
314,13.4200000762939,53.3567,-2.17
315,4.05999994277954,52.4729,13.1106
316,0,55.8983,-4.2357
317,0,55.8982,-4.2355
318,0,55.8983,-4.2351
319,0,55.8982,-4.2352
320,6.44999980926514,50.9156,4.6577
321,0.970000028610229,50.9665,12.7577
322,0,55.8983,-4.2353
323,0,55.8982,-4.2356
324,0,55.8981,-4.2354
325,0,55.8981,-4.2352
326,0,55.8981,-4.2353
327,15.039999961853,44.3987,26.1363
328,2.69000005722046,50.5572,3.2384
329,1.07000005245209,50.5491,4.6879
330,0.379999995231628,-28.7687,153.3437
331,2.69000005722046,50.5573,3.2384
332,6.34000015258789,52.3445,5.3347
333,1.75,45.0386,-0.7383
334,0.479999989271164,49.0655,-1.547
335,13,47.5043,18.989
336,0.759999990463257,47.1797,7.5042
337,0.620000004768372,52.0056,-2.1828
338,2.44000005722046,52.473,13.1105
